['3.0', 'G', '/user/datahome/hive_db/datahome.db/ods_mlf2_xwcmexternalpubdocrecord_df']
['2.9', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_24news_user_article_summary_3d']
['2.8', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_casma_cas_articleceiresultperformance_m_5']
['2.6', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_county_channel_article_summary_m']
['2.6', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_county_channel_article_summary_m']
['2.6', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_app_event_like_di']
['2.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_wm_content_city_channel_article_summary_1d']
['2.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_wm_article_summary_1d']
['2.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_24news_article_summary_3d']
['2.4', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_tmxw_score_order']
['2.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_article_subject_group']
['2.3', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_rs_article_info_stage']
['2.2', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_user_transform_summary_1d']
['1.9', 'G', '/user/datahome/hive_db/datahome.db/ods_mlf2_xwcmcommuser_df']
['1.9', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_hybase_mcb_log_search_info']
['1.9', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_hybase_product_formal_recommend_info']
['1.9', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_xb_article_fx_m']
['1.8', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_t_article_df']
['1.8', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_24news_user_info']
['1.6', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_wangmai_appcustomvisitormapping']
['1.6', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_user_article_keywords_info']
['1.6', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_app_event_forward_di']
['1.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_wm_content_city_channel_article_summary_w']
['1.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_sailing_user_unread_article_info_filter']
['1.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_24news_article_summary_d']
['1.4', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_sailing_device_article_summary_30d']
['1.4', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_24news_user_info']
['1.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_tmxw_article_summary_m']
['1.4', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_app_event_comment_di']
